l1	l2	corr	p	corr.spearman	p.spearman	method	sample	coverage	precision	recall
604.0	83.7137981458254	0.2173461034565879	0.0032921883466101	0.1151879391821945	0.1225633889771276	assembly-based	HQ	1	0.8947368421052632	0.095505617977528
521.0	73.76313442364011	0.55604319602948	5.358302183386079e-16	0.3502820011742269	1.4327788848449335e-06	assembly-based	HQ	2	0.9636363636363636	0.297752808988764
191.0	35.4259791678367	0.9054939225536066	1.1519409466655718e-69	0.7381687284689389	6.1592253059198745e-33	assembly-based	HQ	4	0.96	0.8089887640449438
113.0	24.31049156228644	0.9447338745691072	1.1843711556811755e-87	0.794971378062471	2.852729860699322e-40	assembly-based	HQ	8	0.9938650306748468	0.9101123595505618
78.0	20.83266665599966	0.9588085000246974	8.943917830974544e-100	0.8676802070027531	3.1824320258932627e-56	assembly-based	HQ	16	0.9822485207100592	0.9325842696629212
79.0	17.05872210923198	0.9722260936809144	1.4288010734982275e-113	0.8345932121521865	1.0472604369172775e-47	assembly-based	HQ	32	0.993975903614458	0.9269662921348316
590.0	83.6181798414675	0.1536555939795209	0.0405839826292489	0.1686830829880207	0.0243974949459239	assembly-based	LQ	1	1.0	0.1179775280898876
501.0	70.44856279584417	0.6309593808415423	2.890855417498264e-21	0.400299253806647	2.8236255107606795e-08	assembly-based	LQ	2	0.9791666666666666	0.2640449438202247
179.0	32.14031735997639	0.9173221312957706	2.6485613388337644e-72	0.755361425206993	3.9178289042067595e-34	assembly-based	LQ	4	1.0	0.8258426966292135
42.0	11.575836902790224	0.9872031264936176	2.848110873491259e-142	0.9220403505416626	1.8579637366250228e-74	assembly-based	LQ	8	1.0	0.9662921348314608
15.0	5.5677643628300215	0.9970632118870923	2.438367528953072e-198	0.9795628342457544	1.5942194126706167e-124	assembly-based	LQ	16	1.0	0.9887640449438202
7.0	2.6457513110645907	0.9993630707614996	1.0407140199535676e-256	0.9914341873330792	1.557755570336543e-157	assembly-based	LQ	32	1.0	0.99438202247191
648.0	86.48699324175861	-0.1019210589943754	0.1662804400788359	-0.3768163703118761	1.1506858889648929e-07	binning-based	HQ	1	1.0	0.0056179775280898
679.0	94.34511116109832	-0.0679800549891727	0.3450268543612044	-0.2697284116860171	0.0001371481633043	binning-based	HQ	2	0.8333333333333334	0.0842696629213483
575.0	125.7417989373462	0.0888242719088226	0.2180911983909439	0.0483477144942152	0.5032113347053309	binning-based	HQ	4	0.9901960784313726	0.5674157303370787
355.0	88.31194709664146	0.452787924070666	3.808985309372804e-11	0.2958000143827654	2.959794462279401e-05	binning-based	HQ	8	1.0	0.7359550561797753
350.0	92.34717104492157	0.4266543671752852	5.529616172036276e-10	0.2791061664503718	8.11488494815614e-05	binning-based	HQ	16	0.9925925925925926	0.7528089887640449
283.0	68.09552114493287	0.6193352599510802	7.922630222575507e-22	0.366447036796625	1.5949878647778236e-07	binning-based	HQ	32	1.0	0.7696629213483146
650.0	86.17424209124209	-0.1197348008922874	0.0989743920937966	-0.3585247181576819	3.529794923680505e-07	binning-based	LQ	1	1.0	0.0168539325842696
705.0	99.9749968742185	-0.0831352147737214	0.2541392336112806	-0.2521222005129297	0.0004494679670413	binning-based	LQ	2	0.9285714285714286	0.0730337078651685
453.0	93.9095309327014	0.3049526923412036	1.7014633654232814e-05	0.2099233403696811	0.0034731935955143	binning-based	LQ	4	1.0	0.6292134831460674
272.0	62.44997998398398	0.6574294221926157	2.1915513227686634e-25	0.5162701326797645	1.3101448385280334e-14	binning-based	LQ	8	0.9935064935064936	0.8595505617977528
99.0	21.470910553583888	0.9559199309865868	1.5706135768871585e-102	0.675002815673218	9.402512341072743e-27	binning-based	LQ	16	1.0	0.9157303370786516
69.0	17.05872210923198	0.9722001455604592	7.47210252568542e-120	0.7586175328321105	1.2309704784160084e-36	binning-based	LQ	32	1.0	0.9382022471910112
341.001	42.205670175937264	0.8220897883932812	2.0827586718022137e-45	0.528613968892145	2.3988286465761562e-14	read-based	HQ	1	0.991869918699187	0.6853932584269663
294.91	36.932442567477175	0.8797608175533166	1.1318265718520523e-60	0.6937867723463301	9.591764616472014e-28	read-based	HQ	2	0.9736842105263158	0.8314606741573034
189.447	25.383504545275063	0.950764621150793	1.5100055975507692e-95	0.7975579657226094	2.994635331998631e-42	read-based	HQ	4	0.9717514124293786	0.9662921348314608
130.654	18.116619662619183	0.968774915370558	2.2026068913864183e-113	0.8272434832127701	6.018335151909344e-48	read-based	HQ	8	0.9775280898876404	0.9775280898876404
101.841	12.332063290463603	0.9857211066522508	2.6031349289531407e-144	0.8450235982583945	6.572824507530552e-52	read-based	HQ	16	0.9775280898876404	0.9775280898876404
75.602	9.01125474060078	0.993379657761505	7.162706926064734e-175	0.859108059267775	2.03058291237556e-55	read-based	HQ	32	0.9775280898876404	0.9775280898876404
463.987	68.76956798613759	0.6785631444523322	4.866211118349557e-26	0.5465834165241878	1.2043233363422884e-15	read-based	LQ	1	0.9765625	0.702247191011236
282.281	40.77600678094902	0.9032305268245148	8.930734654210272e-69	0.7281822872641164	1.114103628347057e-31	read-based	LQ	2	0.9814814814814816	0.8932584269662921
186.385	24.32193370190783	0.9465098339135624	7.90257947029857e-92	0.7754456964636856	2.170500681936502e-38	read-based	LQ	4	0.9772727272727272	0.9662921348314608
130.534	16.00031637187215	0.9809233043118526	1.523495980361047e-133	0.8207530138484103	7.4123340380254735e-47	read-based	LQ	8	0.9720670391061452	0.9775280898876404
98.102	11.859124756911866	0.9882670857900752	9.650901345404637e-154	0.8387998792757628	5.353745671708755e-51	read-based	LQ	16	0.9775280898876404	0.9775280898876404
82.23400000000001	10.474098529229138	0.9898164114637552	1.974175159247704e-159	0.8590732222989883	5.404120177001053e-56	read-based	LQ	32	0.9775280898876404	0.9775280898876404
